"easting","northing","cityBlockNum","CU","PE","oanimal","I.NO","P.NO","open","infested","inspector","fitSet"
231498.672556,8183792.220268,725,0,0,0,0,0,0,0,43,0
231498.779133,8183725.047176,723,0,0,0,1,0,1,0,39,0
231499.560254,8183610.761012,712,0,0,0,1,1,1,0,28,0
231499.762027,8183562.099185,711,0,1,0,1,0,1,0,20,0
231499.965798,8183507.985963,710,0,1,0,1,0,1,1,39,0
231500.013749,8183591.998486,712,0,0,0,1,1,1,0,43,0
231500.311454,8183835.720213,698,0,0,0,1,0,1,1,39,0
231500.430333,8183816.214809,698,0,0,0,1,1,1,0,35,0
231501.128981,8183730.209434,723,0,0,0,1,0,1,0,32,0
231501.160301,8183686.968819,723,0,0,0,1,1,1,0,39,0
231501.556937,8183778.306324,725,0,0,0,0,0,0,0,43,0
231502.611,8183461.249635,710,1,1,0,1,0,1,0,39,0
231503.187031,8183514.357996,710,0,0,0,0,0,0,0,43,0
231503.932569,8183619.690261,712,0,0,0,0,0,0,0,35,0
231504.927164,8183584.526951,712,0,0,0,1,0,1,0,43,0
231504.990871,8183812.239518,698,0,1,0,1,0,1,0,35,0
231505.383645,8183469.026981,710,0,0,0,0,0,0,0,35,0
231505.539579,8183784.369172,725,0,0,0,0,0,0,0,39,0
231505.709536,8183692.970202,723,0,1,0,1,0,1,0,35,0
231505.952235,8183741.191372,723,0,0,0,1,0,1,0,32,0
231506.117294,8183843.671081,698,0,0,0,0,0,0,0,43,0
231507.658702,8183523.855595,710,0,0,0,0,0,0,0,35,0
231508.079553,8183628.529157,712,0,0,0,0,0,0,0,32,0
231508.380192,8183787.406586,725,0,0,0,0,0,0,0,35,0
231508.909681,8183811.23372,698,0,0,0,0,0,0,0,20,0
231509.353111,8183696.86134,723,0,0,0,0,0,0,0,43,0
231509.797561,8183477.322702,710,0,0,0,0,0,0,0,43,0
231511.478074,8183750.596087,723,0,0,0,0,0,0,0,43,0
231511.806131,8183533.040986,710,0,0,0,0,0,0,0,20,0
231511.851166,8183851.19259,698,0,0,0,0,0,0,0,35,0
231512.492569,8183703.522683,723,0,0,0,0,0,0,0,39,0
231512.59704,8183634.948672,712,0,0,0,1,0,1,0,34,0
231514.351295,8183582.243514,712,0,0,0,1,1,1,0,43,0
231515.335642,8183486.069031,710,0,0,1,1,1,1,0,18,0
231515.652579,8183639.263737,712,0,0,0,1,1,1,0,38,0
231516.352156,8183758.018322,723,0,0,0,0,0,0,0,20,0
231516.49569,8183548.10162,710,0,0,1,1,1,1,0,28,0
231516.822411,8183708.944575,723,0,0,0,0,0,0,0,32,0
231516.926072,8183808.065005,698,1,1,0,1,0,1,0,32,0
231517.294345,8183643.380798,712,0,1,0,1,1,1,0,38,0
231519.529421,8183713.227292,723,0,0,0,0,0,0,0,35,0
231519.814846,8183495.302598,710,0,1,0,1,1,1,0,28,0
231520.540011,8183647.871947,712,1,1,0,1,0,1,0,32,0
231520.884944,8183543.659426,710,0,0,0,1,0,1,0,39,0
231521.4626,8183865.067495,698,0,0,0,0,0,0,0,20,0
231522.206125,8183598.524857,712,0,0,0,1,0,1,0,43,0
231522.30331,8183773.780374,723,0,1,0,1,0,1,0,20,0
231522.349766,8183653.774587,712,0,0,0,1,1,1,0,39,0
231522.370179,8183717.834101,723,0,0,0,0,0,0,0,20,0
231524.591791,8183661.847024,712,0,1,0,0,0,1,0,32,0
231525.013464,8183506.147518,710,0,0,0,0,0,0,0,39,0
231525.061159,8183823.217533,698,0,0,0,1,1,1,0,43,0
231525.132438,8183721.3861,723,0,0,0,0,0,0,0,35,0
231527.389442,8183666.469285,712,0,0,0,0,0,0,0,28,0
231527.612939,8183730.566334,723,0,0,0,0,0,0,0,20,0
231527.733251,8183542.02875,710,0,0,0,0,0,0,0,32,0
231528.156358,8183605.584495,712,1,1,0,1,0,1,0,43,0
231528.453321,8183513.428023,710,0,0,0,1,1,1,0,45,0
231529.104592,8183614.448253,712,0,0,0,0,0,0,0,39,0
231530.859624,8183881.79078,698,0,0,0,0,0,0,0,32,0
231531.231472,8183670.916966,712,0,0,0,0,0,0,0,32,0
231531.541375,8183830.39808,698,0,0,0,1,1,1,0,43,0
231532.042581,8183771.718712,723,0,0,0,0,0,0,0,32,0
231532.498112,8183618.169799,712,0,1,0,1,0,1,0,35,0
231532.570362,8183738.764,723,0,1,1,1,0,1,0,43,0
231532.926754,8183456.39069,707,0,0,0,1,1,1,0,28,0
231533.34874,8183575.785255,713,0,0,0,0,0,0,0,43,0
231533.59238,8183626.205543,712,0,0,0,0,0,0,0,32,0
231533.95666,8183837.229701,698,0,1,1,1,0,1,0,35,0
231535.869635,8183898.226022,698,0,0,0,1,1,1,0,43,0
