"X","Y","unicode","block_num","FR_D","FR_M","FR_A","opened","infested","p.i"
234740.594745,8181260.450092,"1.13.10.293",1049,21,12,6,0,0,0.115739977252266
234736.808429,8181271.754381,"1.13.10.294",1049,20,12,6,1,0,0.0025337447932297
234754.839838,8181272.064886,"1.13.10.295",1049,20,12,6,1,0,0.00250285529079887
234757.874985,8181262.69324,"1.13.10.296",1049,20,12,6,1,0,0.00256463429566052
234211.743665,8181467.157822,"1.13.10.3",1007,11,12,6,1,1,0.00705
234348.912139,8181449.980063,"1.13.10.30",1011,11,12,6,1,0,0.00241187935898205
234348.937613,8181440.171125,"1.13.10.31",1011,12,12,6,1,0,0.00244953916331553
234330.473059,8181429.38931,"1.13.10.32",1011,11,12,6,1,0,0.00254009195126343
234326.192677,8181436.607403,"1.13.10.33",1011,12,12,6,1,0,0.00249100726246924
234324.734075,8181447.667839,"1.13.10.34",1011,11,12,6,1,0,0.00246477234259648
234325.44092,8181457.113086,"1.13.10.35",1011,19,12,6,0,0,0.100914936738491
234301.103389,8181445.743388,"1.13.10.36",1012,11,12,6,1,0,0.00279270884100594
234301.08032,8181437.757886,"1.13.10.37",1012,19,12,6,0,0,0.212492873236901
234301.067375,8181427.172923,"1.13.10.38",1012,11,12,6,0,0,0.256247749894964
234300.383269,8181417.036001,"1.13.10.39",1012,11,12,6,1,1,0.00705
234210.582874,8181460.104966,"1.13.10.4",1007,19,12,6,0,0,0.749735535742152
234282.650694,8181414.084928,"1.13.10.40",1012,4,1,7,1,0,0.00302586111277834
234282.45213,8181421.563746,"1.13.10.41",1012,19,12,6,0,0,0.233439995258388
234286.5115,8181431.286648,"1.13.10.42",1012,11,12,6,1,0,0.00282909921373267
234282.397092,8181438.719531,"1.13.10.43",1012,11,12,6,1,0,0.00280413372546666
234257.262372,8181437.770122,"1.13.10.44",1013,19,12,6,0,0,0.337935523738071
234257.419244,8181426.266545,"1.13.10.45",1013,19,12,6,0,0,0.323170503631235
234256.033063,8181415.131673,"1.13.10.46",1013,14,12,6,1,0,0.00328990288698157
234257.049239,8181404.653732,"1.13.10.47",1013,11,12,6,1,0,0.00327340027609387
234236.348624,8181403.623735,"1.13.10.48",1013,18,12,6,1,0,0.00365380661424884
234234.531805,8181414.545665,"1.13.10.49",1013,12,12,6,1,0,0.00383152703919333
234210.661808,8181453.882966,"1.13.10.5",1007,11,12,6,1,0,0.00599633107256467
234232.233167,8181424.701705,"1.13.10.50",1013,18,12,6,1,1,0.00705
234232.646595,8181433.736221,"1.13.10.51",1013,12,12,6,1,0,0.00406975703739271
234211.918528,8181433.767959,"1.13.10.52",1014,13,12,6,1,1,0.00705
234211.835277,8181423.30872,"1.13.10.53",1014,12,12,6,1,1,0.00705
234211.936163,8181413.306354,"1.13.10.54",1014,12,12,6,1,1,0.00705
234211.852584,8181402.9575,"1.13.10.55",1014,14,12,6,1,1,0.00705
234183.556785,8181380.651994,"1.13.10.56",1015,19,12,6,0,0,0.743553433827501
234200.170248,8181375.443223,"1.13.10.57",1015,4,1,7,1,0,0.0060107179641078
234248.253815,8181356.85203,"1.13.10.58",1015,13,12,6,1,0,0.0035839878758778
234312.40741,8181324.654575,"1.13.10.59",1015,15,12,6,1,1,0.00705
234238.510433,8181456.750956,"1.13.10.6",1008,19,12,6,0,0,0.235060546245724
234300.741928,8181324.159711,"1.13.10.60",1015,13,12,6,1,0,0.00338976484004562
234290.672335,8181328.664106,"1.13.10.61",1015,13,12,6,1,0,0.0030055502070704
234279.190375,8181333.923481,"1.13.10.62",1015,13,12,6,1,0,0.00282021319248544
234270.859649,8181340.053004,"1.13.10.63",1015,13,12,6,1,0,0.00283121493307725
234263.039616,8181339.727778,"1.13.10.64",1015,13,12,6,1,0,0.00288960878698758
234255.62296,8181344.503009,"1.13.10.65",1015,13,12,6,1,0,0.00302162967408919
234239.248547,8181351.268776,"1.13.10.66",1015,12,12,6,0,0,0.460437174299262
234230.332201,8181358.072058,"1.13.10.67",1015,12,12,6,1,1,0.00705
234218.278648,8181359.78908,"1.13.10.68",1015,18,12,6,1,0,0.00553848940639817
234209.483541,8181361.012699,"1.13.10.69",1015,13,12,6,1,1,0.00705
234238.634802,8181464.783724,"1.13.10.7",1008,11,12,6,1,0,0.00287691447092011
234196.551905,8181361.396506,"1.13.10.70",1015,13,12,6,1,1,0.00705
234183.878724,8181363.461183,"1.13.10.71",1015,4,1,7,1,1,0.00705
234288.288621,8181387.441518,"1.13.10.72",1016,18,12,6,1,0,0.0029670441149991
234305.387783,8181391.200245,"1.13.10.73",1016,12,12,6,1,0,0.00299835676129884
234305.028195,8181379.011938,"1.13.10.74",1016,12,12,6,1,0,0.00279270884100594
234306.055298,8181368.005647,"1.13.10.75",1016,19,12,6,0,0,0.205410465218174
234308.108107,8181360.928176,"1.13.10.76",1016,12,12,6,1,0,0.00273600756257127
234310.14286,8181353.720011,"1.13.10.77",1016,18,12,6,1,0,0.00276266562631295
234312.445709,8181346.892146,"1.13.10.78",1016,12,12,6,1,0,0.00285321841426085
234290.058184,8181355.383174,"1.13.10.79",1016,12,12,6,1,0,0.00289045507472541
234239.145938,8181474.334759,"1.13.10.8",1008,11,12,6,1,0,0.00281428917832063
234285.143428,8181363.774384,"1.13.10.80",1016,12,12,6,1,0,0.00300216505611908
234283.678683,8181371.251014,"1.13.10.81",1016,12,12,6,1,1,0.00705
234283.17751,8181379.614739,"1.13.10.82",1016,10,1,7,1,0,0.00300512706320149
234332.412867,8181407.426396,"1.13.10.83",1017,13,12,6,1,1,0.00705
234348.620279,8181416.405886,"1.13.10.84",1017,13,12,6,1,0,0.00320738983254306
234352.454784,8181407.295513,"1.13.10.85",1017,13,12,6,1,0,0.00316211343856911
234353.487353,8181398.519007,"1.13.10.86",1017,13,12,6,1,0,0.00312572306584239
234354.538649,8181387.936315,"1.13.10.87",1017,13,12,6,1,0,0.00322600816277534
234333.377801,8181390.600892,"1.13.10.88",1017,13,12,6,1,1,0.00705
234331.005163,8181396.454277,"1.13.10.89",1017,13,12,6,1,0,0.00402955836984575
